artist                                                count
--------------------------------------------------  -------
john avon                                              1215
kev walker                                             1089
dan frazier                                             790
mark tedin                                              740
svetlin velinov                                         690
dan scott                                               683
greg staples                                            677
mark poole                                              666
daarken                                                 665
anson maddocks                                          637
douglas shuler                                          621
rob alexander                                           611
pete venters                                            571
adam paquette                                           564
christopher moeller                                     559
chris rahn                                              548
carl critchlow                                          539
ron spencer                                             495
jesper ejsing                                           485
steven belledin                                         484
eric deschamps                                          464
mark zug                                                462
volkan baǵa                                             458
jesper myrfors                                          455
matt stewart                                            455
steve prescott                                          452
raymond swanland                                        451
igor kieryluk                                           450
izzy                                                    443
christopher rush                                        435
karl kopinski                                           430
terese nielsen                                          428
wayne reynolds                                          421
nils hamm                                               420
matt cavotta                                            419
heather hudson                                          415
slawomir maniak                                         415
zoltan boros                                            409
kieran yanner                                           401
ryan pancoast                                           397
daniel ljunggren                                        383
donato giancola                                         381
daren bader                                             360
randy gallegos                                          347
magali villeneuve                                       346
rebecca guay                                            338
howard lyon                                             333
scott m. fischer                                        331
amy weber                                               330
brian snõddy                                            327
yeong-hao han                                           320
jonas de ro                                             315
zoltan boros & gabor szikszai                           313
titus lunter                                            312
franz vohwinkel                                         309
jaime jones                                             309
jason a. engle                                          307
seb mckinnon                                            306
jeff a. menges                                          302
jim nelson                                              295
paolo parente                                           292
winona nelson                                           292
vincent proce                                           290
chris rallis                                            289
victor adame minguez                                    287
chase stone                                             284
james paick                                             284
quinton hoover                                          282
dave kendall                                            280
lars grant-west                                         280
mathias kollros                                         280
noah bradley                                            280
jason felix                                             279
adam rex                                                276
rk post                                                 274
alan pollack                                            273
randy vargas                                            269
tomasz jedruszek                                        265
tyler jacobson                                          261
anthony s. waters                                       260
lucas graciano                                          259
johannes voss                                           257
steve argyle                                            256
jeff miracola                                           255
daniel gelon                                            251
johann bodin                                            250
richard thomas                                          248
jason rainville                                         244
mike bierek                                             241
aleksi briclot                                          240
cliff childs                                            239
chippy                                                  237
sam burley                                              236
todd lockwood                                           235
dameon willich                                          235
yongjae choi                                            231
filip burburan                                          230
zack stella                                             229
aaron miller                                            228
martina pilcerova                                       227
jason chan                                              227
sandra everingham                                       224
ron spears                                              221
alex horley-orlandelli                                  219
melissa a. benson                                       219
d. alexander gregory                                    215
david palumbo                                           214
thomas m. baxa                                          210
wayne england                                           209
anna steinbauer                                         209
lius lasahido                                           208
tom wänerstrand                                         206
clint cearley                                           204
james ryman                                             203
jung park                                               203
simon dominic                                           202
grzegorz rutkowski                                      199
edward p. beard, jr.                                    199
kaja foglio                                             198
john matson                                             197
alayna danner                                           197
darrell riche                                           195
craig j spearing                                        195
raoul vitale                                            186
ryan yee                                                184
dave dorman                                             178
diterlizzi                                              178
lie setiawan                                            177
richard wright                                          173
anthony palumbo                                         173
richard kane ferguson                                   170
greg hildebrandt                                        169
ralph horsley                                           169
drew tucker                                             167
jim murray                                              162
tony szczudlo                                           162
michael sutfin                                          160
eytan zana                                              159
wesley burt                                             158
cristi balanescu                                        158
piotr dura                                              156
ben thompson                                            155
christine choi                                          155
john stanko                                             153
vance kovacs                                            150
glen angus                                              150
michael komarck                                         150
matthew d. wilson                                       149
dmitry burmak                                           149
josu hernaiz                                            148
zezhou chen                                             148
allen williams                                          148
justin sweet                                            146
scott murphy                                            145
bastien l. deharme                                      145
nicholas gregory                                        144
anastasia ovchinnikova                                  143
campbell white                                          143
jeremy jarvis                                           142
warren mahy                                             142
cynthia sheppard                                        140
eric peterson                                           138
sidharth chaturvedi                                     138
deruchenko alexander                                    133
arnie swekel                                            132
