"brims" barone, midway mobster|the capo of caps, the hitman of hats, the don of donning fashionable headwear.
"rumors of my death . . ."|by the fourth funeral, the mooks had gotten pretty good at them.
+2 mace|the weight of this magic weapon falls heavy on the wicked.
_____|{1}: this card's flavor text becomes the flavor text of your choice. (this ability doesn't work because it's flavor text, not rules text (but neither does this reminder text, so you figure it out).)
_____ _____ _____ trespasser|"all you gotta do is walk with purpose. and run with purpose. and clear a five-foot gate with purpose."
_____ balls of fire|employees were instructed to refer to meteor showers as "impromptu fireworks."
_____ bird gets the worm|it's not like anyone else really wanted it.
_____ goblin|the astrotorium has never been a place for self-restraint.
_____~o~saurus|"petting in the petting zoo is not advised." ~astrotorium waiver
a display of my dark power|"what would you say is my greatest attribute? is it my gluttonous lust for power?"
a good day to pie|"what could be funnier than one big pie to the face? unless . . . no. could it be that simple?" ~pietra, crafter of clowns
a reckoning approaches|"the gates open to my new era."
aarakocra sneak|"shhh! i think i hear goblins. and i definitely smell them."
aardwolf's advantage|"my abattoir ghoul deck is unbeatable. wait, 1996 world champion?" ~johnny, to spike
abaddon the despoiler|under his rule, there is but one creed: chaos shall reign.
abandon hope|as gerrard's form vanished into the maw of trees, hanna mouthed a silent plea, mourning a crushed dream.
abandon the post|you don't have to outrun the werewolf; you only have to outrun your fellow guard.
abandoned sarcophagus|although long since dead, the banished dissenters finally took their vengeance.
abattoir ghoul|death took his humanity but not his skill with the knife.
abbey gargoyles|"they don't move, do they?" "only for the wrong sort of people." "are *we* the wrong sort of people?"
abbey gargoyles|"though serra has not been seen for twenty years, her gargoyles still watch over our city and punish the guilty." ~gulsen, abbey matron
abbey griffin|"the darkness crawls with vampires and ghouls, but we are not without allies." ~mikaeus, the lunarch
abbey matron|"the matrons are kindly souls, but don't ask one for an ale." ~halina, dwarven trader
abbey matron|"the matrons still say serra is coming back. i bet she never even existed." ~murat, death speaker
aberrant researcher|"metamorphosis is a process." ~laboratory notes
abeyance|"i'm too modest a wizard to reveal the full extent of my abilities." ~ertai, wizard adept
abiding grace|"into the smothering dark, serra spoke a single word: 'hope.'" ~*song of all*, canto 2
abjure|mirri's hackles rose as ertai continued expounding his virtues. "if that arrogant brat doesn't shut up soon," she growled to herself, "i'm going to have to kill him."
abnormal endurance|tenacity prevails when hopes die.
abolish|as war raged on, the young mages became more direct in their tactics, often at great cost.
abolisher of bloodlines|even if the rain turned to blood, her thirst would not be slaked.
abomination of llanowar|"run!" screamed its living mouths. "come!" cried its dead ones.
aboroth|the *weatherlight* banked sharply as the colossal beast rose up to crush the lone rider. "my bet's on the dirt," gerrard said flatly.
aboshan, cephalid emperor|"no one can fight the tide forever."
about face|the overconfident are the most vulnerable.
abrade|the desert is a voracious beast, devouring both flesh and stone.
abrade|the falkenrath progenitor was a vicious falconer, and the line is quick to remind others of its heritage.
abrupt decay|the izzet quickly suspended their policy of lifetime guarantees.
abrupt decay|the worst part isn't the pain, or the smell, or even the fear of death. it's hearing the clatter of bone on stone and knowing the bones are yours.
absolute grace|in pursuit of urza, the phyrexians sent countless foul legions into serra's realm. though beaten back, they left it tainted with uncleansable evil.
absolute law|the strength of law is unwavering. it is an iron bar in a world of water.
absorb|"in your misguided attempt to subvert the law, you have eloquently explained why the law must exist."
absorb|"your presumption is your downfall."
abstract iguanart|another moving piece by the artist el gecko.
abuna acolyte|"you can break nothing i cannot mend."
abundant harvest|"gaea knows what you need. do you?"
abundant harvest|mood: surrounded by the abundance of nature.
abyssal gatekeeper|"there are two ways for me to pass this gate. one involves you remaining conscious." ~gerrard of the *weatherlight*
abyssal horror|"i dreamt of it once. now i fear it dreams of me." ~tolarian scholar
abyssal horror|it has no face of its own~it wears that of its latest victim.
abyssal hunter|some smiles show cheer; some merely show teeth.
abyssal nocturnus|"i fear to keep an open mind, for there are those who would use it as a door to my soul." ~voka schlak, mauzam asylum inmate, diary
abyssal persecutor|his slaves crave death more than they desire freedom. he denies them both.
abyssal specter|"mystic shadow, bending near me, / who art thou? / whence come ye?" ~stephen crane, "mystic shadow, bending near me"
abyssal specter|"open the gates, and bid them enter." ~lim-dul, the necromancer
abyssal specter|it rides to a chorus of whispers that are more felt than heard.
abyssal specter|to gaze under its hood is to invite death.
abzan advantage|"to survive, you must seize every opportunity." ~daghatar the adamant
abzan banner|stone to endure, roots to remember.
abzan battle priest|"wherever i walk, the ancestors walk too."
abzan beastmaster|his beasts move the great siege towers of the abzan across the endless sands.
abzan falconer|the fastest way across the dunes is above.
abzan guide|"these roads are desolate and changeable. follow me, or die in the wastes."
abzan kin~guard|"the mardu rush headlong toward extinction. we ensure the longevity of our clan by protecting our territory, not rampaging through it."
abzan skycaptain|"a tempest is coming. turn your faces toward the wind!"
academic dispute|"i'll show you original research, you hack!"
academy journeymage|"we don't choose who comes here. we choose how long they stay."
academy loremaster|as a young student, she dusted the shelves of tolaria's great library. now, she writes the books that line them.
academy manufactor|automated systems at the tolarian academy sort new acquisitions for optimal use, determining which should be studied, eaten, or sold.
academy researchers|they brandish their latest theories as warriors would wield weapons.
academy ruins|its secrets once wrought the greatest artifice ever known. now crabs loot the rubble to decorate their shells.
academy ruins|the tolarian academy was home to some of the greatest discoveries in dominaria's history~as well as its greatest tragedies.
academy wall|once the society of mishra took control, the tolarian academy at lat-nam became a haven for dark research.
accelerate|"i've seen lightning move slower." ~nomad sentry
accelerated mutation|its food just got a lot smaller and its stomach a lot bigger.
access denied|the saiba futurists guard their secret experiments with ever-evolving networks of cutting-edge defensive technology.
access tunnel|oriq agents stick to the dark corners of arcavios, unseen yet ever-present.
accomplished alchemist|"tincture of murkroot and lizard feet? simple. one that doesn't taste like murkroot and lizard feet? i'm working on it."
accomplished automaton|was it just lonely, or was some form of evolution inevitable?
accorder paladin|"i fight for the suns, the surface, and everything in between."
accorder's shield|an auriok shield is polished to a mirror finish even on the inside, enabling its bearer to watch foes ahead and behind.
accumulated knowledge|"i have seen and heard much here. there are secrets within secrets. let me show you." ~takara, to eladamri
accumulated knowledge|"learn not only from the failures of the past, but also from its triumphs." ~isperia
accursed centaur|"the cabal mocks the natural order. for its minions, death is just a pause between duties." ~kamahl, druid acolyte
accursed spirit|many have heard the slither of dragging armor and the soft squelch of its voice. but only its victims ever meet its icy gaze.
acid web spider|its web is an excellent source of found copper for the daring or the stupid.
acidic slime|"the merchant said their newt extract was cauldron safe!"
acidic slime|it fears no sword and leaves no bones behind.
acidic sliver|the first sliver burst against the cave wall, and others piled in behind to deepen the new tunnel.
acidic soil|phyrexia had tried to take urza's soul. he was relieved that shiv tried to claim only his soles.
acolyte hybrid|too obviously xenos in form to blend into human society, the acolytes haunt the dark places beneath industrial sprawls.
acolyte of affliction|the best healers are intimately familiar with death.
acolyte of bahamut|you were on a wayward path until bahamut showed you that power and kindness can unite beneath the same banner.
acolyte of xathrid|like all priests, she gives her blessings only to those truly worthy of them.
acorn catapult|the kalonian word for "ammunition" is the same as the word for "bait."
acquire|"'ownership' is such a gray area."
acquire|sometimes "innovation" means "stealing another's secret before anyone else can."
acquisition octopus|you can never have too many arms.
acridian|the elves of argoth were trained to ride these creatures, even when their mounts traveled upside-down.
acrobatic maneuver|renegades find ever more creative ways to work around the consulate's aether regulations.
act of heroism|"on every plane, there are those who run toward danger." ~gideon jura
act of treason|"rage courses in every heart, yearning to betray its rational prison." ~sarkhan vol
act of treason|"the sultai take our dead, so we shall take their living!" ~taklai, mardu ragesinger
act of treason|each day uncertainty and rumors spread, and each night attendance at the juri revue increases.
act of treason|seen through rakdos eyes, a cruel betrayal is a hilarious stunt.
act of treason|she learned a tragic lesson that day: even the purest can be corrupted when the heart's emotions are twisted.
act on impulse|"you don't want to know what happens after i put on the goggles."
ad nauseam|when the task spilled over into undeath, he stopped calling it his life's work.
adamant will|"i refuse to die before i see the sun rise again."
adamant will|the shield took a year to craft, a month to enchant, and a decade to master~all for one glorious moment.
adamaro, first to desire|"beware adamaro! in him all pain and anger is perfected." ~isao, enlightened bushi
adaptive automaton|always on trend.
adaptive automaton|such loyalty can only be made.
adaptive shimmerer|"you sure you want to see what emerges? you might not like it. it definitely won't like you." ~kinnan, bonder prodigy
adaptive snapjaw|"eh, needs more toad." ~gulistan, simic biomancer
adarkar sentinel|"we encountered the sentinels in the wastes, near no living thing. their purpose was inscrutable." ~disa the restless, journal entry
